id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
234,2018,40,4,0,0.000,410355,259512
235,2018,41,4,4,0.012,330248,184614
236,2018,42,4,2,0.003,763441,399134
237,2018,43,4,5,0.022,227552,143699
238,2018,44,4,20,0.014,1412502,752968
239,2018,45,4,6,0.009,678845,347107
240,2018,46,4,0,0.000,173929,118998
241,2018,47,4,3,0.009,331970,186511
242,2018,48,4,0,0.000,76520,61340
243,2018,49,4,6,0.007,815883,397887
244,2018,50,4,3,0.006,495983,298631
245,2018,51,4,4,0.007,567462,295611
246,2018,52,4,1,0.006,174069,100617
247,2018,53,4,4,0.013,307084,157552
248,2018,54,4,9,0.012,733469,378055
249,2018,55,4,1,0.005,185355,99893
250,2018,56,4,3,0.004,754867,468872
251,2018,57,4,12,0.011,1043524,518772
252,2018,58,4,3,0.015,205828,141623
253,2018,59,4,40,0.015,2606234,1224589
254,2018,60,4,8,0.010,827153,376185
255,2018,61,4,2,0.007,281593,165463
256,2018,62,4,23,0.016,1466743,717901
257,2018,63,4,5,0.008,659048,389711
258,2018,64,4,7,0.010,679810,409790
259,2018,65,4,3,0.013,229191,162729
260,2018,66,4,9,0.019,476357,352742
261,2018,67,4,10,0.009,1133552,561562
262,2018,68,4,9,0.012,764981,380238
263,2018,69,4,19,0.010,1859524,926576
264,2018,70,4,1,0.004,236018,128333
265,2018,71,4,5,0.009,552185,311499
266,2018,72,4,5,0.009,565963,292628
267,2018,73,4,8,0.018,433724,349226
268,2018,74,4,3,0.004,816699,517217
269,2018,75,4,34,0.016,2175601,1386846
270,2018,76,4,15,0.012,1255883,645786
271,2018,77,4,6,0.004,1412516,619784
272,2018,78,4,12,0.008,1441398,643946
273,2018,79,4,2,0.005,374799,195051
274,2018,80,4,10,0.018,570662,301740
275,2018,81,4,3,0.008,388596,212905
276,2018,82,4,1,0.004,259124,132603
277,2018,83,4,22,0.021,1067697,722128
278,2018,84,4,8,0.014,559793,305436
279,2018,85,4,3,0.004,679991,426426
280,2018,86,4,4,0.009,437586,241951
281,2018,87,4,2,0.005,373199,220762
282,2018,88,4,1,0.003,366112,214363
283,2018,89,4,6,0.018,337504,197683
284,2018,90,4,1,0.007,141852,72929
285,2018,91,4,12,0.009,1296641,564587
286,2018,92,4,18,0.011,1619120,801737
287,2018,93,4,26,0.016,1632677,679663
288,2018,94,4,10,0.007,1396913,640016
289,2018,95,4,10,0.008,1238581,510302
290,2019,01,4,4,0.006,652432,321432
291,2019,02,4,5,0.009,531345,266922
292,2019,03,4,3,0.009,335975,208863
293,2019,04,4,0,0.000,164308,129690
294,2019,05,4,2,0.014,141220,137644
295,2019,06,4,9,0.008,1094283,778291
296,2019,07,4,4,0.012,328278,206435
297,2019,08,4,2,0.007,270582,142983
298,2019,09,4,4,0.026,153287,110526
299,2019,10,4,4,0.013,310242,166101
300,2019,11,4,5,0.013,374070,265167
301,2019,12,4,4,0.014,279595,182769
302,2019,13,4,60,0.029,2043110,1044973
303,2019,14,4,11,0.016,694905,422082
304,2019,15,4,2,0.014,144692,101953
305,2019,16,4,4,0.011,352015,198920
306,2019,17,4,8,0.012,651358,440935
307,2019,18,4,3,0.010,302306,179430
308,2019,19,4,3,0.012,240073,155041
309,2019,21,4,5,0.009,534124,292479
310,2019,22,4,2,0.003,600582,371643
311,2019,23,4,0,0.000,116617,88646
312,2019,24,4,8,0.019,413223,261104
313,2019,25,4,3,0.006,543974,283778
314,2019,26,4,9,0.017,516762,277777
315,2019,27,4,9,0.015,599507,298148
316,2019,28,4,2,0.005,431575,217440
317,2019,29,4,9,0.010,915090,549039
318,2019,2A,4,5,0.032,158507,122005
319,2019,2B,4,4,0.022,181933,133540
320,2019,30,4,7,0.009,748437,431684
321,2019,31,4,21,0.015,1400039,740546
322,2019,32,4,1,0.005,191377,111536
323,2019,33,4,15,0.009,1623749,886986
324,2019,34,4,14,0.012,1175623,739737
325,2019,35,4,8,0.007,1079498,561343
326,2019,36,4,1,0.005,219316,138826
327,2019,37,4,6,0.010,610079,328095
328,2019,38,4,18,0.014,1271166,659031
